po_number,invoice_number,invoice_quantity,invoice_unit_price,invoice_date
PO1000,INV5001,22,149.6,20/02/2026
PO1001,INV5002,356,149.43,13/02/2026
PO1002,INV5003,26,12.59,04/05/2026
PO1003,INV5004,297,51,27/01/2026
PO1004,INV5005,311,68.27,07/05/2026
PO1005,INV5006,184,59.18,06/05/2026
PO1006,INV5007,204,23.86,08/02/2026
PO1007,INV5008,284,29.34,13/05/2026
PO1008,INV5009,434,127.58,07/04/2026
PO1009,INV5010,33,133.95,02/02/2026
PO1010,INV5011,453,24.7,26/03/2026
PO1011,INV5012,93,77.19,27/04/2026
PO1012,INV5013,321,128.82,05/02/2026
PO1013,INV5014,204,61.13,21/05/2026
PO1014,INV5015,441,154.82,09/04/2026
PO1015,INV5016,215,57.21,13/04/2026
PO1016,INV5017,212,177.51,30/05/2026
PO1017,INV5018,81,53.09,25/03/2026
PO1018,INV5019,229,180.08,22/06/2026
PO1019,INV5020,270,101.24,21/02/2026
PO1020,INV5021,331,36.2,05/03/2026
PO1021,INV5022,207,79.42,14/02/2026
PO1022,INV5023,450,188.77,06/06/2026
PO1023,INV5024,394,57.03,08/06/2026
PO1024,INV5025,232,35.84,06/04/2026
PO1025,INV5026,269,182.96,09/03/2026
PO1026,INV5027,321,43.79,23/05/2026
PO1027,INV5028,480,5.11,14/06/2026
PO1028,INV5029,485,75.78,12/02/2026
PO1029,INV5030,459,115.63,13/03/2026
PO1030,INV5031,427,18.5,19/05/2026
PO1031,INV5032,494,112.21,28/05/2026
PO1032,INV5033,118,186.14,01/05/2026
PO1033,INV5034,214,199.05,13/04/2026
PO1034,INV5035,241,28.6,30/05/2026
PO1035,INV5036,311,113.01,28/01/2026
PO1036,INV5037,372,128.07,28/01/2026
PO1037,INV5038,46,105.26,18/04/2026
PO1038,INV5039,77,162.47,13/06/2026
PO1039,INV5040,423,84.38,18/05/2026
PO1040,INV5041,191,87.6,30/04/2026
PO1041,INV5042,41,99.99,08/02/2026
PO1042,INV5043,107,109.58,18/03/2026
PO1042,INV5044,107,109.58,22/03/2026
PO1043,INV5045,246,53.71,04/04/2026
PO1044,INV5046,35,132.17,07/02/2026
PO1045,INV5047,95,84.25,23/03/2026
PO1046,INV5048,94,78.9,08/02/2026
PO1047,INV5049,226,140.84,11/04/2026
PO1048,INV5050,161,50.78,28/02/2026
PO1049,INV5051,39,17.67,13/04/2026
PO1050,INV5052,39,192.35,24/02/2026
PO1051,INV5053,355,173.05,04/02/2026
PO1052,INV5054,306,120.93,20/03/2026
PO1053,INV5055,299,106.94,12/06/2026
PO1054,INV5056,132,56.79,13/04/2026
PO1055,INV5057,485,151.61,04/04/2026
PO1056,INV5058,61,19.29,25/06/2026
PO1057,INV5059,487,73.06,21/02/2026
PO1057,INV5060,487,73.06,25/02/2026
PO1058,INV5061,90,90.45,05/04/2026
PO1059,INV5062,14,135.23,08/06/2026
PO1060,INV5063,490,195.61,13/02/2026
PO1061,INV5064,89,58.11,10/06/2026
PO1062,INV5065,114,146.41,29/04/2026
PO1063,INV5066,473,215.58,20/03/2026
PO1064,INV5067,434,58.95,14/05/2026
PO1065,INV5068,92,149.54,03/04/2026
PO1065,INV5069,92,149.54,06/04/2026
PO1066,INV5070,67,19.67,20/01/2026
PO1067,INV5071,437,77,23/01/2026
PO1068,INV5072,31,65.11,28/02/2026
PO1069,INV5073,351,25.04,31/03/2026
PO1070,INV5074,483,186.33,26/02/2026
PO1071,INV5075,101,148.63,31/01/2026
PO1072,INV5076,146,36.04,16/03/2026
PO1073,INV5077,449,96.78,31/01/2026
PO1074,INV5078,430,160.09,05/04/2026
PO1075,INV5079,214,69.01,11/03/2026
